short_threshold,long_threshold,candidate_rows,trade_count,long_trade_count,short_trade_count,no_trade_rows,dual_signal_rows,valid_hit_rate,valid_mean_trade_return,valid_median_trade_return,valid_sum_return,valid_compounded_return,valid_max_drawdown
0.6,0.4,11756,925,915,10,8981,0,0.5297297297297298,0.0001455859218377086,0.0001966129348498491,0.13466697769988045,0.13424076034553667,-0.0759199103320819
0.55,0.4,11756,946,903,43,8918,9,0.5317124735729387,0.00013415403673991088,0.00025566078062444486,0.1269097187559557,0.12542047039807547,-0.0759199103320819
0.55,0.35,11756,1622,1581,41,6890,20,0.5326757090012331,7.806519522597234e-05,0.0001846034316562717,0.12662174665652715,0.12445033009484363,-0.0984149518615618
0.65,0.4,11756,920,917,3,8996,0,0.5315217391304348,0.00013561709880054705,0.00022981412752598462,0.12476773089650328,0.12309775920934585,-0.07591991033208123
0.65,0.35,11756,1606,1603,3,6938,0,0.5336239103362391,6.363239976243457e-05,0.00017926720252137152,0.10219363401846993,0.09743669621093409,-0.10036476322155452
0.45,0.5,11756,573,183,390,10037,23,0.4973821989528796,0.00016649176187488968,-5.060639108123155e-05,0.09539977955431178,0.09137372251769471,-0.06671099974982819
0.6,0.35,11756,1609,1600,9,6929,2,0.5326289620882536,5.471480485769283e-05,0.00017585266266717525,0.08803612101602776,0.08200272104428641,-0.11151929876491895
0.5,0.4,11756,994,856,138,8774,50,0.5261569416498993,5.322132722703533e-05,0.00015664161828976564,0.052901999263673116,0.04604694721749403,-0.08673519337553526
0.65,0.45,11756,444,441,3,10424,0,0.49774774774774777,0.00011530025392082067,-4.289072124641358e-05,0.05119331274084438,0.045857777545073475,-0.08152631886587614
0.5,0.55,11756,234,88,146,11054,0,0.5,0.0002114399738686404,-5.401084526257538e-05,0.049476953885261854,0.045474117961471716,-0.0927513742721714
0.6,0.45,11756,451,441,10,10403,0,0.49445676274944567,0.000101928543498382,-0.00010018923442556282,0.045969773117770285,0.04039506611527077,-0.08206309690926838
0.55,0.5,11756,241,190,51,11033,0,0.4854771784232365,0.00016804431925942178,-9.341740237012175e-05,0.04049868094152065,0.03503352127352444,-0.0746620234059302
0.5,0.35,11756,1638,1517,121,6842,80,0.5274725274725275,2.1378987098950868e-05,0.00017093728091011062,0.03501878086808152,0.025985886712110995,-0.10799163260002875
0.55,0.45,11756,485,441,44,10301,0,0.4948453608247423,6.624806633392085e-05,-7.144013792714787e-05,0.032130312171951614,0.025797485618899385,-0.09266617878714511
0.45,0.45,11756,766,400,366,9458,58,0.4908616187989556,3.7266888450842164e-05,-7.347980044858371e-05,0.0285464365533451,0.01994990092404403,-0.06901601086507447
0.65,0.5,11756,194,191,3,11174,0,0.4948453608247423,7.434791693717834e-05,-0.00014649040230108046,0.014423495885812598,0.009908977619207615,-0.07136262499678447
0.55,0.55,11756,140,87,53,11336,0,0.4785714285714286,8.886791057235523e-05,-9.785190284605783e-05,0.012441507480129732,0.008397377874064693,-0.0947216427493367
0.6,0.5,11756,201,191,10,11153,0,0.48258706467661694,4.382205007982132e-05,-0.00032391300720702176,0.008808232066044086,0.004229596609742536,-0.07190534294658935
0.5,0.6,11756,199,51,148,11159,0,0.5175879396984925,3.546070302415536e-05,0.00025274424080123925,0.007056679901806917,0.0029635595129764436,-0.08756515391728426
0.45,0.4,11756,1126,786,340,8378,145,0.5150976909413855,1.7003750480664925e-06,0.00010097992279667345,0.0019146223041228705,-0.007650181240138609,-0.08113627348857921
0.45,0.55,11756,502,83,419,10250,0,0.49203187250996017,-1.9860546832180607e-05,-7.061319691281653e-05,-0.009969994509754665,-0.016052199140207057,-0.13456277769668756
0.5,0.65,11756,175,27,148,11231,0,0.5142857142857142,-8.020548706829e-05,0.0002119698904163858,-0.01403596023695075,-0.01683336548749914,-0.06757455046674576
0.55,0.6,11756,105,52,53,11441,0,0.49523809523809526,-0.00015277292349426461,-5.282211586532526e-05,-0.016041156966897785,-0.01905459052792413,-0.08064077865540664
0.45,0.35,11756,1701,1379,322,6653,247,0.5220458553791887,-1.1195263635436102e-05,0.00014144469351151656,-0.01904314344387681,-0.028153518104928832,-0.10174658518844792
0.4,0.4,11756,1339,708,631,7739,387,0.508588498879761,-1.5332040804859994e-05,3.4957244958944145e-05,-0.020529602637707534,-0.03027487143028673,-0.1272566764257651
0.5,0.5,11756,326,182,144,10778,0,0.4938650306748466,-7.939414356573957e-05,-0.0001043457283738114,-0.025882490802431102,-0.030844626036080847,-0.0910683476863724
0.45,0.65,11756,459,25,434,10379,0,0.5032679738562091,-7.322303702950221e-05,7.578890483395107e-05,-0.033609373996541514,-0.037265729400718595,-0.09904303945676574
0.45,0.6,11756,477,47,430,10325,0,0.4968553459119497,-8.666944941183988e-05,-5.060639108123155e-05,-0.04134132736944762,-0.045741242686396344,-0.11562769363751557
0.4,0.35,11756,1786,1181,605,6398,608,0.5151175811870101,-2.31676737948543e-05,9.586122317251089e-05,-0.04137746539760978,-0.05116112406106477,-0.10242067869537741
0.4,0.5,11756,1007,166,841,8735,67,0.45878848063555117,-4.582306641468877e-05,-0.000291226086091223,-0.04614382787959159,-0.05423830787078532,-0.10200105532246617
0.5,0.45,11756,558,418,140,10082,16,0.4910394265232975,-0.00013038472640319578,-0.00010860426609826668,-0.07275467733298324,-0.07616753584887248,-0.10383862841931324
0.35,0.5,11756,1675,151,1524,6731,125,0.46686567164179105,-4.611327246551022e-05,-0.0002290423687663079,-0.07723973137972961,-0.08426278145677368,-0.1460540685890943
0.35,0.4,11756,1806,669,1137,6338,645,0.4833887043189369,-4.480577607680106e-05,-8.58756487565615e-05,-0.08091923159470271,-0.08790224855874584,-0.16022945478535833
0.35,0.35,11756,2058,1065,993,5582,1047,0.49611273080660834,-4.543296736680353e-05,-2.3679846183566333e-05,-0.09350104684088167,-0.09966848549020779,-0.13945783013607305
0.4,0.55,11756,976,77,899,8828,20,0.4764344262295082,-0.00010401334715457605,-0.00020839175962183987,-0.10151702682286623,-0.10516806980330651,-0.16175176375642664
0.4,0.45,11756,1106,370,736,8438,171,0.4620253164556962,-9.185046198382343e-05,-0.0002786445488139888,-0.1015866109541087,-0.10586107844247616,-0.11387134992579429
0.4,0.65,11756,957,23,934,8885,0,0.47962382445141066,-0.00011529628794904475,-0.0001340170061996382,-0.11033854756723582,-0.11150522815591724,-0.1765411519721185
0.35,0.55,11756,1668,66,1602,6752,49,0.47182254196642687,-7.906986974717199e-05,-0.00018068533671777853,-0.13188854273828288,-0.13300696553941072,-0.19837409479359236
0.4,0.6,11756,966,38,928,8858,0,0.4813664596273292,-0.00013924006869364864,-0.000142303259217047,-0.1345059063580646,-0.13402465774516858,-0.19741220730688647
0.35,0.45,11756,1711,347,1364,6623,299,0.46171829339567505,-8.806189009820118e-05,-0.00024130164351965355,-0.15067389395802222,-0.14912491143597373,-0.17883567589996296
0.35,0.6,11756,1668,44,1624,6752,24,0.4658273381294964,-9.938887890487721e-05,-0.00023215063024151217,-0.1657806500133352,-0.160744599576353,-0.1984575585712216
0.35,0.65,11756,1666,17,1649,6758,0,0.47058823529411764,-0.00015346381857271968,-0.00019083218073279173,-0.255670721742151,-0.23402807900912637,-0.2684479560012406
